created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Nov 09 02:05:17 +0000 2023,1722435157796204930,bella hadid backstage for marc jacobs fw20 https://t.co/md9gL5j9xL,7,4,385,3447,en,1515531723458715655,1722435157796204930,thesoftestaura,https://twitter.com/thesoftestaura/status/1722435157796204930,
Thu Nov 09 01:37:10 +0000 2023,1722428083284721949,street style looks by bella hadid https://t.co/DA3yvbUNyp,0,5,31,222,en,960972758199889920,1722428083284721949,bellahadid,https://twitter.com/bellahadid/status/1722428083284721949,
Thu Nov 09 01:30:31 +0000 2023,1722426408155132263,"السلام عليكم ورحمة الله وبركاته🍃 صبح بخیر ♥️  #BoycotteBankAlFalah #BoycottDior #NZvsSL  #SaraAliKhan ayub park #HarisRaug Bella Hadid PKR 59,999 #أبوعبيدة #Hamas #طوفان_الأقصى https://t.co/syzV96CTvq",1,68,23,222,ar,1569325167184121856,1722426408155132263,kanwalrazi20,https://twitter.com/kanwalrazi20/status/1722426408155132263,
Thu Nov 09 01:06:21 +0000 2023,1722420325068276085,AP รายงานว่าข่าวเรื่อง Bella Hadid ถูก Dior ปลดเพราะออกมาพูดเรื่องปาเลสไตน์ไม่เป็นความจริง สัญญาของเบลล่ากับ Dior หมดไปตั้งแต่เดือนมีนา 2022 และตั้งแต่ปี 2016 มาจนถึงวันที่สัญญาของเธอหมด เบลล่าเป็น Brand Ambassador ให้กับ Dior Beauty และพูดเรื่องปาเลสไตน์มาตลอดโดยที่ไม่มีปัญหาใดๆ https://t.co/kxjHJnuwWB,11,2,1934,512,th,1110879967137550336,1722420325068276085,moviesmusic_th_,https://twitter.com/moviesmusic_th_/status/1722420325068276085,
Wed Nov 08 23:28:13 +0000 2023,1722395632281821686,dystopian that gal gadot isn’t even american but has been given a platform to spread zionist propaganda in california and NYC while bella hadid who IS american is losing jobs in her own country,153,278,28040,96247,en,1248721657264517122,1722395632281821686,highnxck,https://twitter.com/highnxck/status/1722395632281821686,
Wed Nov 08 23:16:59 +0000 2023,1722392801671815591,"the fashion forward brand is beloved by many high profile people including, but not limited to, bella hadid, julia fox, and elyanna https://t.co/IC77Ri2H2O",0,2,29,433,en,875330368890691584,1722392753575694814,MIUCClAMUSE,https://twitter.com/MIUCClAMUSE/status/1722392801671815591,
Wed Nov 08 19:09:13 +0000 2023,1722330452042649812,32 mil comentários defendendo a Bella e a Palestina no último post da Dior. ❤️,3,1,5,128,pt,3325146441,1722330452042649812,BellaHadidBra,https://twitter.com/BellaHadidBra/status/1722330452042649812,
Wed Nov 08 21:21:44 +0000 2023,1722363799171125418,"Hacer la vista 👀gorda a los crímenes ☠️de Israel 🇮🇱 está de moda   ¿No me crees?  👉Pues sí, Dior reemplaza a la palestina Bella Hadid por una modelo israelí  👉Isabella Khair Hadid, más conocida como Bella Hadid, es una modelo estadounidense hija de padre palestino y madre… https://t.co/DDMjrNE9Zc",1,8,140,145,es,1476621826369466372,1722363799171125418,ElNecio_Cuba,https://twitter.com/ElNecio_Cuba/status/1722363799171125418,
Wed Nov 08 21:21:31 +0000 2023,1722363746100662603,"🚨 JUST IN:  DID DIOR REPLACE PALESTINIAN BELLA HADID WITH ISRAELI MODEL DUE TO WAR?  The claim that Dior dropped Bella Hadid due to her comments on the Israel-Hamas conflict is false.  Hadid's contract with Dior ended in March 2022, unrelated to the conflict.  The new holiday… https://t.co/tzLp1rijmM",5,175,43,227,en,1319287761048723458,1722363746100662603,MarioNawfal,https://twitter.com/MarioNawfal/status/1722363746100662603,
Wed Nov 08 18:44:10 +0000 2023,1722324148871930182,Il contatto di Bella Hadid con Dior è concluso a marzo 2022 Esistono ancora giornali seri che non vendano fakenews?,2,13,56,239,it,384340494,1722324148871930182,vanabeau,https://twitter.com/vanabeau/status/1722324148871930182,
